id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
117039,Numida,meleagris,meleagris,Helmeted Guineafowl,Rory Nefdt,Uganda,"Lake Victoria Serena Resort, Kyadondo, Mpigi, Central Region",0.2046,32.5836,1200,"call, song",//xeno-canto.org/117039,https://xeno-canto.org/117039/download,XC117039-10_Helmeted_Guineafowl_Uganda_17Dec12_1855.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/ffts/XC117039-small.png', 'med': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/ffts/XC117039-med.png', 'large': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/ffts/XC117039-large.png', 'full': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/ffts/XC117039-full.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:13,19:00,2012-12-17,2013-01-08,[''],,yes,no
739976,Ptilopachus,petrosus,,Stone Partridge,Peter Boesman,Uganda,Pian Upe National Park,1.846086,34.289982,,song,//xeno-canto.org/739976,https://xeno-canto.org/739976/download,XC739976-LS_50504 Stone Partridge song B.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739976-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739976-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739976-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739976-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:23,17:30,2022-06-13,2022-07-27,[''],Song at dusk.,unknown,unknown
739975,Ptilopachus,nahani,,Nahan's Partridge,Peter Boesman,Uganda,Royal Mile Budongo forest,1.710845,31.542134,,song,//xeno-canto.org/739975,https://xeno-canto.org/739975/download,XC739975-LS_50848 Nahan Francolin song A.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739975-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739975-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739975-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739975-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:21,08:00,2022-06-19,2022-07-27,[''],,unknown,unknown
739974,Ptilopachus,nahani,,Nahan's Partridge,Peter Boesman,Uganda,Royal Mile Budongo forest,1.710845,31.542134,,song and call,//xeno-canto.org/739974,https://xeno-canto.org/739974/download,XC739974-LS_50846 Nahan Francolin call and song A.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739974-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739974-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739974-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739974-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:47,08:00,2022-06-19,2022-07-27,[''],,unknown,unknown
739973,Ptilopachus,nahani,,Nahan's Partridge,Peter Boesman,Uganda,Budongo Eco lodge,1.917326,31.719824,,song,//xeno-canto.org/739973,https://xeno-canto.org/739973/download,XC739973-LS_50789 Nahan Francolin song B.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739973-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739973-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739973-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739973-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:19,09:00,2022-06-18,2022-07-27,[''],,unknown,unknown
739972,Ptilopachus,nahani,,Nahan's Partridge,Peter Boesman,Uganda,Budongo Eco lodge,1.917326,31.719824,,song,//xeno-canto.org/739972,https://xeno-canto.org/739972/download,XC739972-LS_50787 Nahan Francolin song B Red-tailed Ant Thrush song.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739972-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739972-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739972-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739972-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:24,09:00,2022-06-18,2022-07-27,['Neocossyphus rufus'],,unknown,unknown
166387,Ptilopachus,nahani,,Nahan's Partridge,Sander Bot,Uganda,Mabira Forest Pond,0.411,33.048,1200,song,//xeno-canto.org/166387,https://xeno-canto.org/166387/download,XC166387-NahansPartridge30Jan2014MabiraForestUganda.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/XC166387-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/XC166387-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/XC166387-large.png', 'full': '//xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/XC166387-full.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,C,0:26,?,2014-01-31,2014-02-07,[''],,no,no
292767,Ptilopachus,nahani,,Nahan's Partridge,Martin St-Michel,Uganda,Budongo Forest,1.7158,31.5418,1100,song,//xeno-canto.org/292767,https://xeno-canto.org/292767/download,XC292767-Budongo-2015-03-14-08h34 LS115259.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC292767-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC292767-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC292767-large.png', 'full': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC292767-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,D,0:20,08:34,2015-03-14,2015-11-30,[''],Habitat: secondary evergreen forest.,no,no
739886,Peliperdix,coqui,,Coqui Francolin,Peter Boesman,Uganda,"Lake Mburo National Park, Kiruhura, Western Region",-0.5968,31.0106,,call,//xeno-canto.org/739886,https://xeno-canto.org/739886/download,XC739886-LS_51636 Coqui francolin call A.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739886-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739886-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739886-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739886-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:30,08:00,2022-07-02,2022-07-27,[''],,unknown,unknown
157032,Peliperdix,coqui,,Coqui Francolin,Hans Groot,Uganda,Lake Mburo National Park,-0.6567,30.9237,1300,call,//xeno-canto.org/157032,https://xeno-canto.org/157032/download,XC157032-Coqui Francolin Lake Mburo 150213.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OTVUCEGYZN/ffts/XC157032-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OTVUCEGYZN/ffts/XC157032-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OTVUCEGYZN/ffts/XC157032-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OTVUCEGYZN/ffts/XC157032-full.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:41,17:00,2013-02-15,2013-12-07,[''],,yes,yes
